name,normalizedName
Ain,AIN
Aisne,AISNE
Allier,ALLIER
Alpes-de-Haute-Provence,ALPES_DE_HAUTE_PROVENCE
Hautes-Alpes,HAUTES_ALPES
Alpes-Maritimes,ALPES_MARITIMES
Ardèche,ARDECHE
Ardennes,ARDENNES
Ariège,ARIEGE
Aube,AUBE
Aude,AUDE
Aveyron,AVEYRON
Bouches-du-Rhône,BOUCHE_DU_RHONE
Calvados,CALVADOS
Cantal,CANTAL
Charente,CHARENTE
Charente-Maritime,CHARENTE_MARITIME
Cher,CHER
Corrèze,CORREZE
Corse-du-Sud,CORSE_DU_SUD
Haute-Corse,HAUTE_CORSE
Côte-d'Or,COTE_D_OR
Côtes-d'Armor,COTES_D_ARMOR
Creuse,CREUSE
Dordogne,DORDOGNE
Doubs,DOUBS
Drôme,DROME
Eure,EURE
Eure-et-Loir,EURE_ET_LOIRE
Finistère,FINISTERE
Gard,GARD
Haute-Garonne,HAUTE_GARONNE
Gers,GERS
Gironde,GIRONDE
Hérault,HERAULT
Ille-et-Vilaine,ILLE_ET_VILAINE
Indre,INDRE
Indre-et-Loire,INDRE_ET_LOIRE
Isère,ISERE
Jura,JURA
Landes,LANDES
Loir-et-Cher,LOIR_ET_CHER
Loire,LOIRE
Haute-Loire,HAUTE_LOIRE
Loire-Atlantique,LOIRE_ATLANTIQUE
Loiret,LOIRET
Lot,LOT
Lot-et-Garonne,LOT_ET_GARONNE
Lozère,LOZERE
Maine-et-Loire,MAINE_ET_LOIRE
Manche,MANCHE
Marne,MARNE
Haute-Marne,HAUTE_MARNE
Mayenne,MAYENNE
Meurthe-et-Moselle,MEURTHE_ET_MOSELLE
Meuse,MEUSE
Morbihan,MORBIHAN
Moselle,MOSELLE
Nièvre,NIEVRE
Nord,NORD
Oise,OISE
Orne,ORNE
Pas-de-Calais,PAS_DE_CALAIS
Puy-de-Dôme,PUY_DE_DOME
Pyrénées-Atlantiques,PYRENEES_ATLANTIQUES
Hautes-Pyrénées,HAUTES_PYRENEES
Pyrénées-Orientales,PYRENEES_ORIENTALES
Bas-Rhin,BAS_RHIN
Haut-Rhin,HAUT_RHIN
Rhône,RHONE
Haute-Saône,HAUTE_SAONE
Saône-et-Loire,SAONE_ET_LOIRE
Sarthe,SARTHE
Savoie,SAVOIE
Haute-Savoie,HAUTE_SAVOIE
Paris,PARIS
Seine-Maritime,SEINE_MARITIME
Seine-et-Marne,SEINE_ET_MARNE
Yvelines,YVELINES
Deux-Sèvres,DEUX_SEVRES
Somme,SOMME
Tarn,TARN
Tarn-et-Garonne,TARN_ET_GARONNE
Var,VAR
Vaucluse,VAUCLUSE
Vendée,VENDEE
Vienne,VIENNE
Haute-Vienne,HAUTE_VIENNE
Vosges,VOSGES
Yonne,YONNE
Territoire de Belfort,TERRITOIRE_DE_BELFORT
Essonne,ESSONE
Hauts-de-Seine,HAUTS_DE_SEINE
Seine-Saint-Denis,SEINE_SAINT_DENIS
Val-de-Marne,VAL_DE_MARNE
Val-d'Oise,VAL_D_OISE
Martinique,MARTINIQUE
Guadeloupe,GUADELOUPE
Guyane française,GUYANE
Mayotte,MAYOTTE
La Réunion,ILE_DE_LA_REUNION